City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kailua-kona,19.6406,-155.9956,28.49,71,40,5.66,US,1683600222
1,sitka,57.0531,-135.33,9.94,66,100,3.09,US,1683600207
2,port-aux-francais,-49.35,70.2167,7.27,97,100,10.44,TF,1683600447
3,lae,-6.7221,146.9847,30.37,65,96,4.24,PG,1683600447
4,thompson,55.7435,-97.8558,15.09,51,75,1.54,CA,1683600057
5,saipan,15.1355,145.701,31.39,100,20,6.17,MP,1683600448
6,olney,39.1532,-77.0669,20.29,79,0,0.0,US,1683600397
7,remire-montjoly,4.9167,-52.2667,25.02,94,75,1.03,GF,1683600226
8,grytviken,-54.2811,-36.5092,-0.1,64,15,1.92,GS,1683600193
9,margaret river,-33.95,115.0667,20.23,49,52,7.65,AU,1683600200
10,louhans,46.6667,5.1667,14.31,89,100,0.21,FR,1683600449
11,mahebourg,-20.4081,57.7,24.16,88,40,3.6,MU,1683600449
12,mejit,10.2753,170.8646,27.15,83,100,6.58,MH,1683600237
13,kodiak,57.79,-152.4072,2.73,93,100,12.86,US,1683600219
14,katsuura,35.1333,140.3,18.01,57,40,8.64,JP,1683600214
15,civril,38.3014,29.7386,11.01,73,38,1.15,TR,1683600449
16,bode saadu,8.9333,4.7833,26.77,72,67,2.23,NG,1683600450
17,lerwick,60.1545,-1.1494,9.0,98,100,0.95,GB,1683600174
18,aral,40.5156,81.2636,19.14,13,0,5.02,CN,1683600450
19,rawah,34.4816,41.9093,21.28,39,100,3.12,IQ,1683600450
20,waitangi,-43.9535,-176.5597,16.57,92,100,4.47,NZ,1683600192
21,souillac,-20.5167,57.5167,24.21,88,40,3.6,MU,1683600242
22,kedrovyy,56.1667,91.8167,21.23,34,24,4.36,RU,1683600450
23,san juan de miraflores,-12.1629,-76.9635,21.29,86,90,4.51,PE,1683600451
24,qaqortoq,60.7167,-46.0333,0.08,93,100,2.19,GL,1683600243
25,port mathurin,-19.6833,63.4167,25.42,75,55,8.96,MU,1683600232
26,cabo san lucas,22.8909,-109.9124,28.17,32,0,5.66,MX,1683600351
27,namibe,-15.1961,12.1522,22.52,79,36,1.18,AO,1683600192
28,jaicos,-7.3592,-41.1378,21.74,70,17,1.31,BR,1683600180
